Timestamp,FewShot_Count,Original_Individual,Original_Accuracy,Shuffled_Individual,Shuffled_Accuracy
2026-03-09 20:34:35.319192,3,"[265, 483, 2050]",0.291866028708134,"[265, 2050, 483]",0.277511961722488
2026-03-09 20:34:36.251701,10,"[114, 172, 209, 370, 868, 1132, 1341, 1387, 2700, 3087]",0.4090909090909091,"[172, 1132, 3087, 2700, 370, 209, 1341, 1387, 114, 868]",0.3827751196172249
2026-03-09 20:34:36.969482,16,"[157, 259, 312, 479, 518, 572, 762, 941, 1638, 1673, 1813, 1994, 2152, 2504, 2966, 3024]",0.4377990430622009,"[2152, 259, 518, 1673, 572, 1638, 312, 3024, 941, 2504, 157, 2966, 1813, 1994, 479, 762]",0.4545454545454545
2026-03-09 20:34:41.347887,8,"[661, 1078, 1368, 1611, 2154, 2161, 2901, 3282]",0.2870813397129186,"[661, 1611, 2154, 1078, 2161, 1368, 2901, 3282]",0.2942583732057416
2026-03-09 20:34:41.347947,6,"[1302, 1527, 1592, 2238, 2382, 3168]",0.3755980861244019,"[1302, 2238, 3168, 1527, 1592, 2382]",0.3205741626794258
2026-03-09 20:34:41.730916,20,"[172, 245, 339, 416, 558, 618, 1080, 1684, 2127, 2228, 2255, 2398, 2440, 2483, 2502, 2581, 2711, 2772, 2950, 2955]",0.4114832535885167,"[1080, 2581, 416, 2711, 245, 2440, 2483, 172, 2228, 2398, 2127, 2772, 2955, 2255, 558, 2502, 1684, 339, 618, 2950]",0.5861244019138756
2026-03-09 20:34:43.407179,12,"[17, 244, 425, 768, 856, 890, 1156, 2295, 2539, 2645, 2780, 3147]",0.4569377990430622,"[17, 3147, 2645, 890, 244, 1156, 768, 2780, 856, 2539, 2295, 425]",0.3636363636363636
2026-03-09 20:34:43.408310,2,"[311, 1524]",0.1818181818181818,"[1524, 311]",0.2105263157894736
2026-03-09 20:34:43.457736,4,"[543, 1667, 2100, 2876]",0.3205741626794258,"[2100, 2876, 1667, 543]",0.3995215311004784
2026-03-09 20:34:48.309941,24,"[5, 114, 246, 380, 490, 937, 1164, 1427, 1796, 2005, 2083, 2086, 2170, 2188, 2591, 2648, 2718, 2875, 2876, 2971, 2984, 3102, 3140, 3159]",0.4976076555023923,"[2083, 490, 2170, 5, 2718, 3102, 2876, 1164, 2086, 937, 114, 2971, 2875, 2984, 3159, 2648, 380, 1796, 3140, 2591, 1427, 2188, 2005, 246]",0.4019138755980861
2026-03-09 20:34:51.215676,32,"[79, 563, 595, 663, 948, 1023, 1151, 1162, 1177, 1276, 1345, 1471, 1546, 1580, 1725, 1750, 1784, 1792, 1983, 1997, 1999, 2063, 2131, 2223, 2333, 2623, 2624, 2644, 2814, 2911, 3032, 3148]",0.430622009569378,"[1999, 1792, 1580, 2814, 948, 563, 3148, 2223, 595, 1546, 1983, 2333, 79, 2644, 1750, 1997, 3032, 2624, 2063, 1177, 1784, 2131, 1725, 2911, 1471, 1151, 1023, 1276, 2623, 663, 1345, 1162]",0.5023923444976076
2026-03-09 20:37:44.584490,10,"[114, 172, 209, 370, 868, 1132, 1341, 1387, 2700, 3087]",0.4090909090909091,"[3087, 172, 2700, 868, 114, 1387, 370, 1132, 209, 1341]",0.354066985645933
2026-03-09 20:37:45.740506,3,"[265, 483, 2050]",0.291866028708134,"[2050, 483, 265]",0.277511961722488
2026-03-09 20:37:48.054075,6,"[1302, 1527, 1592, 2238, 2382, 3168]",0.3755980861244019,"[3168, 1592, 1302, 2238, 1527, 2382]",0.3588516746411483
2026-03-09 20:37:50.597376,16,"[157, 259, 312, 479, 518, 572, 762, 941, 1638, 1673, 1813, 1994, 2152, 2504, 2966, 3024]",0.4377990430622009,"[1638, 572, 1994, 312, 762, 518, 2966, 2152, 1813, 479, 941, 157, 259, 3024, 2504, 1673]",0.3875598086124402
2026-03-09 20:37:51.525169,4,"[543, 1667, 2100, 2876]",0.3205741626794258,"[2876, 543, 2100, 1667]",0.4521531100478468
2026-03-09 20:37:53.342285,8,"[661, 1078, 1368, 1611, 2154, 2161, 2901, 3282]",0.2870813397129186,"[1611, 2901, 3282, 1078, 1368, 2154, 661, 2161]",0.3062200956937799
2026-03-09 20:37:56.281998,12,"[17, 244, 425, 768, 856, 890, 1156, 2295, 2539, 2645, 2780, 3147]",0.4569377990430622,"[890, 244, 2780, 425, 1156, 2645, 856, 2539, 2295, 17, 3147, 768]",0.4114832535885167
2026-03-09 20:37:57.695630,20,"[172, 245, 339, 416, 558, 618, 1080, 1684, 2127, 2228, 2255, 2398, 2440, 2483, 2502, 2581, 2711, 2772, 2950, 2955]",0.4114832535885167,"[2228, 2950, 2440, 1080, 339, 2483, 558, 2772, 1684, 2127, 2955, 245, 2502, 416, 2398, 618, 2255, 172, 2711, 2581]",0.4688995215311005
