Timestamp,FewShot_Count,Order_Strategy,Original_Individual,Original_Accuracy,New_Individual,New_Accuracy
2026-03-10 14:27:55.895859,16,group_bug_feature_question,"[5, 28, 63, 138, 150, 223, 266, 285, 347, 384, 440, 480, 520, 608, 610, 611]",0.819047619047619,"[5, 63, 138, 150, 347, 384, 480, 520, 611, 28, 223, 285, 440, 266, 608, 610]",0.7714285714285715
2026-03-10 14:28:04.510733,8,group_bug_feature_question,"[118, 209, 230, 273, 338, 439, 603, 618]",0.819047619047619,"[118, 209, 230, 338, 603, 618, 273, 439]",0.819047619047619
2026-03-10 14:28:05.569305,20,group_bug_feature_question,"[43, 81, 130, 156, 159, 168, 214, 253, 281, 309, 320, 350, 368, 458, 513, 558, 630, 697, 753, 773]",0.8285714285714286,"[43, 130, 214, 253, 281, 309, 320, 350, 368, 458, 697, 156, 159, 168, 513, 630, 773, 81, 558, 753]",0.8
2026-03-10 14:28:06.612028,6,group_bug_feature_question,"[114, 155, 249, 408, 502, 587]",0.8285714285714286,"[114, 408, 587, 155, 502, 249]",0.8095238095238095
2026-03-10 14:28:08.197111,10,group_bug_feature_question,"[218, 254, 350, 595, 687, 702, 705, 795, 815, 831]",0.8095238095238095,"[350, 595, 687, 702, 815, 705, 795, 831, 218, 254]",0.8
2026-03-10 14:28:11.363853,32,group_bug_feature_question,"[39, 44, 48, 82, 100, 114, 119, 128, 182, 242, 291, 315, 317, 320, 337, 380, 462, 464, 468, 479, 486, 537, 539, 551, 602, 613, 667, 674, 684, 696, 725, 822]",0.7904761904761904,"[82, 100, 114, 242, 291, 315, 320, 337, 479, 486, 537, 551, 602, 667, 674, 696, 725, 822, 39, 44, 48, 128, 182, 380, 462, 468, 539, 119, 317, 464, 613, 684]",0.6571428571428571
2026-03-10 14:28:11.365368,12,group_bug_feature_question,"[23, 53, 68, 121, 168, 249, 355, 367, 436, 574, 589, 831]",0.8380952380952381,"[23, 68, 121, 367, 574, 589, 53, 168, 436, 831, 249, 355]",0.8476190476190476
2026-03-10 14:28:22.014326,24,group_bug_feature_question,"[7, 50, 70, 101, 117, 151, 201, 282, 323, 339, 368, 379, 419, 428, 430, 459, 512, 618, 624, 637, 662, 742, 790, 812]",0.8,"[7, 101, 117, 151, 201, 282, 323, 368, 428, 430, 459, 624, 662, 70, 339, 379, 512, 618, 790, 812, 50, 419, 637, 742]",0.7333333333333333
2026-03-10 14:30:04.751295,16,group_bug_question_feature,"[5, 28, 63, 138, 150, 223, 266, 285, 347, 384, 440, 480, 520, 608, 610, 611]",0.819047619047619,"[5, 63, 138, 150, 347, 384, 480, 520, 611, 266, 608, 610, 28, 223, 285, 440]",0.8380952380952381
2026-03-10 14:30:04.752128,6,group_bug_question_feature,"[114, 155, 249, 408, 502, 587]",0.8285714285714286,"[114, 408, 587, 249, 155, 502]",0.8285714285714286
