Timestamp,FewShot_Count,Order_Strategy,Original_Individual,New_Individual,Original_Macro_F1,New_Macro_F1
2026-03-10 15:58:16,10,group_bug_feature_question,"[10, 55, 102, 118, 120, 129, 148, 321, 340, 381]","[10, 102, 129, 148, 120, 340, 55, 118, 321, 381]",0.6074528142905292,0.6313131313131313
2026-03-10 15:58:41,10,group_bug_question_feature,"[10, 55, 102, 118, 120, 129, 148, 321, 340, 381]","[10, 102, 129, 148, 55, 118, 321, 381, 120, 340]",0.6074528142905292,0.6037433155080213
2026-03-10 15:59:03,10,group_feature_bug_question,"[10, 55, 102, 118, 120, 129, 148, 321, 340, 381]","[120, 340, 10, 102, 129, 148, 55, 118, 321, 381]",0.6074528142905292,0.5866194809571958
2026-03-10 15:59:26,10,group_feature_question_bug,"[10, 55, 102, 118, 120, 129, 148, 321, 340, 381]","[120, 340, 55, 118, 321, 381, 10, 102, 129, 148]",0.6074528142905292,0.5490981177255687
2026-03-10 15:59:48,10,group_question_bug_feature,"[10, 55, 102, 118, 120, 129, 148, 321, 340, 381]","[55, 118, 321, 381, 10, 102, 129, 148, 120, 340]",0.6074528142905292,0.5396825396825397
2026-03-10 16:00:09,10,group_question_feature_bug,"[10, 55, 102, 118, 120, 129, 148, 321, 340, 381]","[55, 118, 321, 381, 120, 340, 10, 102, 129, 148]",0.6074528142905292,0.5466177384280833
2026-03-10 16:00:51,10,long_to_short,"[10, 55, 102, 118, 120, 129, 148, 321, 340, 381]","[321, 120, 55, 148, 340, 102, 10, 129, 118, 381]",0.6074528142905292,0.5076804915514593
2026-03-10 16:00:30,10,short_to_long,"[10, 55, 102, 118, 120, 129, 148, 321, 340, 381]","[381, 118, 129, 10, 102, 340, 148, 55, 120, 321]",0.6074528142905292,0.6031746031746031
2026-03-10 15:58:16,12,group_bug_feature_question,"[0, 22, 55, 76, 181, 220, 226, 254, 266, 295, 301, 376]","[22, 266, 301, 376, 76, 226, 254, 0, 55, 181, 220, 295]",0.4969122325494354,0.5368235368235369
2026-03-10 15:58:42,12,group_bug_question_feature,"[0, 22, 55, 76, 181, 220, 226, 254, 266, 295, 301, 376]","[22, 266, 301, 376, 0, 55, 181, 220, 295, 76, 226, 254]",0.4969122325494354,0.5622710622710623
2026-03-10 15:59:04,12,group_feature_bug_question,"[0, 22, 55, 76, 181, 220, 226, 254, 266, 295, 301, 376]","[76, 226, 254, 22, 266, 301, 376, 0, 55, 181, 220, 295]",0.4969122325494354,0.5303030303030303
2026-03-10 15:59:25,12,group_feature_question_bug,"[0, 22, 55, 76, 181, 220, 226, 254, 266, 295, 301, 376]","[76, 226, 254, 0, 55, 181, 220, 295, 22, 266, 301, 376]",0.4969122325494354,0.570125313283208
